tag,issue_date,code,description,fine_amount,issue_time,proximity,address,proximity_optional,address_optional,province
***05620,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:28,,3 GLAMORGAN AVE,,,ON
***15431,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:28,,5 SAN ROMANO WAY,,,ON
***19631,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:28,S/S,BUDE ST,W/O,WINONA DR,ON
***55836,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:28,NR,97 BILLINGS AVE,,,ON
***32433,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:28,OPP,101 COE HILL DR,,,ON
***95104,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:29,,151 TOYROK DR,,,ON
***19468,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:29,,66 WALPOLE AVE,,,ON
***42307,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:29,N/S,BARTON AVE,E/O,CHRISTIE ST,ON
***48879,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:29,NR,47 NINTH ST,,,ON
***04512,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:29,NR,2 RUSHOLME PARK CRES,,,ON
***27089,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:29,NR,895 DOVERCOURT RD,,,ON
***84744,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:30,OPP,270 BEECH AVE,,,ON
***19632,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:30,NR,47 BUDE ST,,,ON
***01287,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:30,NR,75 SPENCER AVE,,,NF
***27090,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:30,NR,920 DOVERCOURT RD,,,ON
***63863,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:31,,21 WELSFORD GARDENS,,,ON
***19469,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:31,,66 WALPOLE AVE,,,ON
***19633,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:31,NR,53 BUDE ST,,,ON
***55837,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:31,NR,85 BILLINGS AVE,,,ON
***32434,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:31,OPP,5 BUDGELL TER,,,ON
***05621,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:32,,3 GLAMORGAN AVE,,,ON
***15432,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:32,,5 SAN ROMANO WAY,,,ON
***63864,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:32,,21 WELSFORD GARDENS,,,ON
***84745,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:32,NR,309 BEECH AVE,,,ON
***19470,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:33,,66 WALPOLE AVE,,,ON
***27678,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:33,,15 MARTHA EATON WAY,,,ON
***42308,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:33,N/S,BARTON AVE,W/O,PALMERSTON AVE,ON
***48880,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:33,NR,57 SIXTH ST,,,ON
***55838,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:33,NR,55 BILLINGS AVE,,,ON
***05622,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:34,,3 GLAMORGAN AVE,,,ON
***27679,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:34,,15 MARTHA EATON WAY,,,ON
***37347,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:34,NR,25 ADRA GRADO WAY,,,ON
***19634,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:34,NR,39 STRADER AVE,,,ON
***28223,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:34,NR,8 HIGHVIEW CRES,,,ON
***27091,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:34,NR,965 DOVERCOURT RD,,,ON
***32435,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:34,OPP,134 WINDERMERE AVE,,,ON
***63865,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:35,,21 WELSFORD GARDENS,,,ON
***28224,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:35,NR,8 HIGHVIEW CRES,,,ON
***55839,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:35,NR,51 BILLINGS AVE,,,ON
***04513,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:35,OPP,30 HEYDON PARK RD,,,ON
***32436,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:35,OPP,134 WINDERMERE AVE,,,ON
***27680,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:36,,15 MARTHA EATON WAY,,,ON
***37348,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:36,NR,25 ADRA GRADO WAY,,,ON
***84746,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:36,NR,25 PICKERING ST,,,ON
***48881,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:36,NR,23 SIXTH ST,,,ON
***27681,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:37,,15 MARTHA EATON WAY,,,ON
***84747,2022-11-22,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,00:37,NR,31 PICKERING ST,,,ON
***28225,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:37,NR,34 HIGHVIEW CRES,,,ON
***82143,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:37,NR,35 BETTY NAGLE ST,,,ON
***27092,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:37,NR,975 DOVERCOURT RD,,,ON
***19635,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:38,S/S,CLOVELLY AVE,E/O,GLENHOLME AVE,ON
***42309,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:38,S/S,YARMOUTH GDNS,W/O,PALMERSTON AVE,ON
***48882,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:38,NR,1 SIXTH ST,,,ON
***01288,2022-11-22,336,PARK-FAIL TO DISPLAY PERMIT,30,00:38,NR,96 COWAN AVE,,,ON
***28226,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:39,NR,34 HIGHVIEW CRES,,,ON
***48883,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:39,NR,1 SIXTH ST,,,ON
***01289,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:39,NR,96 COWAN AVE,,,ON
***04514,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:39,NR,50 SHANNON ST,,,ON
***19636,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:40,NR,756 VAUGHAN RD,,,ON
***28227,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:40,NR,8 HIGHVIEW CRES,,,ON
***27093,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:40,NR,1045 DOVERCOURT RD,,,ON
***28228,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:41,NR,8 HIGHVIEW CRES,,,ON
***48884,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:41,NR,2 SEVENTH ST,,,ON
***01290,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:41,NR,88 COWAN AVE,,,ON
***84748,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:42,NR,119 PICKERING ST,,,ON
***27094,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:42,NR,1044 DOVERCOURT RD,,,ON
***32437,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:42,NR,65 WINDERMERE AVE,,,ON
***48885,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:43,NR,10 SEVENTH ST,,,ON
***27682,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:44,,15 MARTHA EATON WAY,,,ON
***42310,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:44,N/S,VERMONT AVE,W/O,PALMERSTON AVE,ON
***01291,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:44,NR,28 COWAN AVE,,,ON
***32438,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:44,NR,65 WINDERMERE AVE,,,ON
***27683,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:45,,15 MARTHA EATON WAY,,,ON
***37349,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:45,AT,2756 OLD LESLIE ST,,,ON
***48886,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:45,NR,86 SEVENTH ST,,,ON
***66227,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:45,NR,77 MUTUAL ST,,,ON
***69980,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:45,NR,540 MAIN ST,,,ON
***84749,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:46,NR,165 PICKERING ST,,,ON
***42311,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:46,N/S,VERMONT AVE,W/O,BATHURST ST,MB
***66228,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:46,NR,77 MUTUAL ST,,,ON
***04515,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:46,S/S,HARRISON ST,E/O,OSSINGTON AVE,ON
***24779,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:47,NR,59 HILLSDALE AVE E,,,ON
***27095,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:47,NR,55 HALLAM ST,,,ON
***05623,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:48,,450 SCARBOROUGH GOLF CLUB RD,,,ON
***27685,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:48,,15 MARTHA EATON WAY,,,ON
***24780,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:48,NR,59 HILLSDALE AVE E,,,AZ
***66229,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:48,NR,77 MUTUAL ST,,,ON
***69981,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:48,NR,566 MAIN ST,,,NB
***32439,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:48,N/S,ORMSKIRK AVE,E/O,SOUTH KINGSWAY,ON
***27686,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:49,,15 MARTHA EATON WAY,,,ON
***23456,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:49,NR,103 PRISCILLA AVE,,,ON
***04516,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:49,NR,54 GROVE AVE,,,ON
***27096,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:49,NR,100 HALLAM ST,,,ON
***05624,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:50,,450 SCARBOROUGH GOLF CLUB RD,,,ON
***24781,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:50,NR,33 HILLSDALE AVE E,,,ON
***29421,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:50,NR,20 WILLIE CRT,,,ON
***28229,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:51,NR,14 LAUDER AVE,,,ON
***55840,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:51,NR,2 FIRST AVE,,,ON
***27097,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:51,NR,116 HALLAM ST,,,ON
***32440,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:51,E/S,RIPLEY AVE,S/O,ORMSKIRK AVE,ON
***84750,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:52,NR,133 HANNAFORD ST,,,ON
***03829,2022-11-22,336,PARK-FAIL TO DISPLAY PERMIT,30,00:52,NR,28 DUNN AVE,,,ON
***05650,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:53,,450 SCARBOROUGH GOLF CLUB RD,,,ON
***04517,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:53,NR,41 ROLYAT ST,,,ON
***28230,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:54,NR,2 NORTHCLIFFE BLVD,,,ON
***42312,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:54,N/S,FOLLIS AVE,W/O,BATHURST ST,ON
***05651,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:55,,450 SCARBOROUGH GOLF CLUB RD,,,ON
***04518,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:55,NR,27 ROLYAT ST,,,ON
***32441,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:55,OPP,20 INNISFREE CRT,,,ON
***28231,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:56,NR,2 NORTHCLIFFE BLVD,,,ON
***63866,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:57,,30 GILDER DR,,,ON
***48887,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:57,NR,57 THIRD ST,,,ON
***05652,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:58,,450 SCARBOROUGH GOLF CLUB RD,,,ON
***63867,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:58,,30 GILDER DR,,,ON
***28232,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:58,NR,2 NORTHCLIFFE BLVD,,,ON
***03830,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:58,NR,100 CLOSE AVE,,,ON
***32523,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,01:00,,3 ROWNTREE RD,,,ON
***97508,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,01:00,,55 WYNFORD HEIGHTS CRESCENT,,,ON
***97509,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,01:00,,55 WYNFORD HEIGHTS CRESCENT,,,ON
***97510,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,01:00,,55 WYNFORD HEIGHTS CRESCENT,,,ON
***84751,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:01,OPP,283 WILLOW AVE,,,ON
***48888,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:01,NR,23 THIRD ST,,,ON
***66230,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:01,NR,277 MUTUAL ST,,,ON
***32442,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:01,E/S,SOUTH KINGSWAY,N/O,SUNNYBROOK RD,ON
***48889,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:02,NR,21 THIRD ST,,,ON
***74820,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,01:02,AT,5500 YONGE ST,,,ON
***32443,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:03,W/S,SOUTH KINGSWAY,N/O,SUNNYBROOK RD,ON
***84752,2022-11-22,336,PARK-FAIL TO DISPLAY PERMIT,30,01:04,NR,262 WILLOW AVE,,,ON
***03831,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:04,OPP,102 DOWLING AVE,,,ON
***69982,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:05,NR,187 MILVERTON BLVD,,,ON
***15433,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,01:06,,83 REDPATH AVE,,,ON
***48890,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:06,NR,96 FOURTH ST,,,ON
***32444,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,01:06,E/S,SOUTH KINGSWAY,S/O,VERBENA AVE,RI
***15434,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,01:08,,83 REDPATH AVE,,,ON
