Tag,Issue_Date,Code,Description,Fine Amount,Issue Time,Proximity,Address,Proximity_optional,Address_optional,Province,Month,Hour
***70776,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:13,NR,95 MC CAUL ST,,,ON,November,0
***87881,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:13,OPP,4 FULTON AVE,,,ON,November,0
***87882,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:14,OPP,12 FULTON AVE,,,ON,November,0
***30937,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:14,NR,106 OSSINGTON AVE,,,ON,November,0
***63877,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:15,,777 WARDEN AVE,,,ON,November,0
***34430,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:15,AT,55 ERSKINE AVE,,,ON,November,0
***35016,2022-11-24,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:15,NR,1 WOOD ST,,,ON,November,0
***32902,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:16,N/S,LAPPIN AVE,W/O,DUFFERIN ST,ON,November,0
***34431,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:16,AT,55 ERSKINE AVE,,,ON,November,0
***34432,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:16,AT,55 ERSKINE AVE,,,ON,November,0
***87883,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:16,OPP,32 FULTON AVE,,,ON,November,0
***29371,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:17,OPP,578 RIDELLE AVE,,,ON,November,0
***32903,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:17,N/S,LAPPIN AVE,W/O,DUFFERIN ST,ON,November,0
***32904,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:18,N/S,LAPPIN AVE,W/O,DUFFERIN ST,ON,November,0
***34433,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:18,AT,55 ERSKINE AVE,,,ON,November,0
***32905,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:19,S/S,LAPPIN AVE,W/O,DUFFERIN ST,ON,November,0
***87884,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:19,OPP,81 FULTON AVE,,,ON,November,0
***35505,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:19,NR,180 SUDBURY ST,,,ON,November,0
***63878,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:21,,777 WARDEN AVE,,,ON,November,0
***82150,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:21,,145 LONG BRANCH AVE,,,ON,November,0
***97651,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:21,OPP,48 MILLWOOD RD,,,ON,November,0
***23728,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:21,AT,105 GEORGE APPLETON WAY,,,ON,November,0
***30996,2022-11-24,363,PARK ONSTRT ACCESSIBLE NO PRMT,450,00:21,NR,52 STEWART ST,,,ON,November,0
***32906,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:22,S/S,LAPPIN AVE,W/O,DUFFERIN ST,ON,November,0
***32907,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:22,S/S,LAPPIN AVE,W/O,DUFFERIN ST,ON,November,0
***87885,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:22,NR,125 FULTON AVE,,,ON,November,0
***39647,2022-11-24,4,PARK ON MUNICIPAL PROPERTY,30,00:23,AT,55 FOREST MANOR RD,,,ON,November,0
***23729,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:23,AT,65 GEORGE APPLETON WAY,,,ON,November,0
***07512,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:24,NR,77 MUTUAL ST,,,ON,November,0
***34434,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:24,OPP,20 ROSELAWN AVE,,,ON,November,0
***34435,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:24,OPP,20 ROSELAWN AVE,,,ON,November,0
***23730,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:24,AT,65 GEORGE APPLETON WAY,,,ON,November,0
***32908,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:25,S/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***97652,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:25,OPP,166 MILLWOOD RD,,,ON,November,0
***44481,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:26,NR,77 MUTUAL ST,,,ON,November,0
***29372,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:26,NR,27 GLENORA AVE,,,ON,November,0
***32869,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:26,NR,109 WESTMOUNT AVE,,,ON,November,0
***90040,2022-11-24,257,PARK CONTRARY POSTED CONDITION,100,00:26,AT,340 PARK LAWN RD,,,ON,November,0
***30997,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:26,NR,38 STEWART ST,,,OH,November,0
***82151,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:27,,145 LONG BRANCH AVE,,,ON,November,0
***32909,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:27,S/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***70777,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:27,OPP,30 GRAND TRUNK CRES,,,ON,November,0
***87886,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:27,NR,223 FULTON AVE,,,ON,November,0
***90041,2022-11-24,257,PARK CONTRARY POSTED CONDITION,100,00:27,AT,340 PARK LAWN RD,,,ON,November,0
***30998,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:27,NR,38 STEWART ST,,,ON,November,0
***32548,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:27,AT,65 GEORGE APPLETON WAY,,,ON,November,0
***44482,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:28,NR,77 MUTUAL ST,,,ON,November,0
***29373,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:28,NR,9 GLENORA AVE,,,ON,November,0
***90042,2022-11-24,257,PARK CONTRARY POSTED CONDITION,100,00:28,AT,340 PARK LAWN RD,,,ON,November,0
***30999,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:28,NR,20 STEWART ST,,,ON,November,0
***32549,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:28,AT,65 GEORGE APPLETON WAY,,,ON,November,0
***04256,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:29,,21 WEST POINT LANE,,,ON,November,0
***32910,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:29,S/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***34436,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:29,NR,111 ORCHARD VIEW BLVD,,,ON,November,0
***04257,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:30,,23 WEST POINT LANE,,,ON,November,0
***48839,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:30,AT,85 QUEENS WHARF RD,,,ON,November,0
***87887,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:30,NR,214 FULTON AVE,,,ON,November,0
***31000,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:30,NR,20 STEWART ST,,,MB,November,0
***31001,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:30,NR,20 STEWART ST,,,ON,November,0
***29374,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:31,N/S,MOIR AVE,W/O,VAUGHAN RD,ON,November,0
***32911,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:31,S/S,LAPPIN AVE,E/O,ST CLARENS AVE,ON,November,0
***48840,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:31,AT,85 QUEENS WHARF RD,,,ON,November,0
***48841,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:31,AT,85 QUEENS WHARF RD,,,ON,November,0
***04258,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:32,,25 WEST POINT LANE,,,ON,November,0
***39648,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:32,AT,103 PARKWAY FOREST DR,,,ON,November,0
***48842,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:32,AT,85 QUEENS WHARF RD,,,ON,November,0
***63882,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:33,,777 WARDEN AVE,,,ON,November,0
***32912,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:33,S/S,LAPPIN AVE,E/O,LANSDOWNE AVE,ON,November,0
***39649,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:33,AT,103 PARKWAY FOREST DR,,,ON,November,0
***48843,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:33,AT,85 QUEENS WHARF RD,,,ON,November,0
***48844,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:33,AT,85 QUEENS WHARF RD,,,ON,November,0
***90043,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:33,NR,10 CROWN HILL PL,,,ON,November,0
***31002,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:33,NR,75 PORTLAND ST,,,ON,November,0
***83544,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:34,,46 PANORAMA COURT,,,ON,November,0
***04259,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:34,,35 WEST POINT LANE,,,ON,November,0
***39650,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:34,AT,103 PARKWAY FOREST DR,,,ON,November,0
***31003,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:34,NR,75 PORTLAND ST,,,ON,November,0
***83502,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:35,,255 RANEE AVE,,,ON,November,0
***29375,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:35,NR,115 KENWOOD AVE,,,ON,November,0
***70778,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:35,NR,18 BEVERLEY ST,,,ON,November,0
***74880,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:35,AT,11 LIVONIA PL,,,ON,November,0
***90044,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:35,NR,9 CROWN HILL PL,,,ON,November,0
***83545,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:36,,46 PANORAMA COURT,,,ON,November,0
***04260,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:36,,37 WEST POINT LANE,,,ON,November,0
***63883,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:36,,777 WARDEN AVE,,,ON,November,0
***70779,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:36,NR,18 BEVERLEY ST,,,ON,November,0
***90045,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:36,NR,7 CROWN HILL PL,,,ON,November,0
***31004,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:36,NR,75 PORTLAND ST,,,ON,November,0
***35506,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:36,NR,1087 QUEEN ST W,,,ON,November,0
***04261,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:38,,41 WEST POINT LANE,,,ON,November,0
***63884,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:38,,777 WARDEN AVE,,,ON,November,0
***29376,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:39,N/S,MAPLEWOOD AVE,W/O,VAUGHAN RD,ON,November,0
***32870,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:39,NR,2 NORTHCOTE AVE,,,ON,November,0
***32871,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:39,NR,2 NORTHCOTE AVE,,,ON,November,0
***04262,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:40,,43 WEST POINT LANE,,,ON,November,0
***44483,2022-11-24,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:40,E/S,VICTORIA ST,N/O,QUEEN ST E,ON,November,0
***29377,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:40,N/S,MAPLEWOOD AVE,W/O,VAUGHAN RD,ON,November,0
***90046,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:40,NR,1 CROWN HILL PL,,,ON,November,0
***63885,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:41,,777 WARDEN AVE,,,ON,November,0
***83503,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:41,,255 RANEE AVE,,,ON,November,0
***32872,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:42,NR,2 NORTHCOTE AVE,,,ON,November,0
***29378,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:43,N/S,LOUISE AVE,E/O,WYCHWOOD AVE,ON,November,0
***32550,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:43,AT,160 CHALKFARM DR,,,ON,November,0
***30150,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:44,,40 GORDONRIDGE PLACE,,,ON,November,0
***63886,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:44,,777 WARDEN AVE,,,ON,November,0
***82511,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:44,,24 BEAD FERNWAY,,,ON,November,0
***83504,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:44,,255 RANEE AVE,,,ON,November,0
***74528,2022-11-24,257,PARK CONTRARY POSTED CONDITION,100,00:44,AT,2125 LAWRENCE AVE W,,,ON,November,0
***75256,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:44,OPP,206 MC CAUL ST,,,ON,November,0
***90047,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:44,NR,8 HILL HEIGHTS RD,,,ON,November,0
***32551,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:44,AT,160 CHALKFARM DR,,,ON,November,0
***29379,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:45,N/S,LOUISE AVE,E/O,KENWOOD AVE,ON,November,0
***32913,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:45,AT,5 ADRIAN AVE,,,ON,November,0
***83505,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:46,,255 RANEE AVE,,,ON,November,0
***32914,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:46,AT,5 ADRIAN AVE,,,ON,November,0
***39651,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:46,AT,4751 LESLIE ST,,,ON,November,0
***32552,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:46,AT,160 CHALKFARM DR,,,ON,November,0
***32553,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:47,AT,160 CHALKFARM DR,,,ON,November,0
***82512,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:48,,130 ROCK FERNWAY,,,ON,November,0
***35507,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:48,NR,18 LAIDLAW ST,,,ON,November,0
***32915,2022-11-24,336,PARK-FAIL TO DISPLAY PERMIT,30,00:49,W/S,WILTSHIRE AVE,N/O,ADRIAN AVE,ON,November,0
***86133,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:50,,2 PENGARTH CRT,,,ON,November,0
***90048,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:50,NR,5 NEWHOLM RD,,,ON,November,0
***32554,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:50,AT,170 CHALKFARM DR,,,ON,November,0
***35508,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:50,OPP,62 JOE SHUSTER WAY,,,ON,November,0
***90049,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:51,NR,8 NEWHOLM RD,,,ON,November,0
***32555,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:51,AT,170 CHALKFARM DR,,,ON,November,0
***32916,2022-11-24,336,PARK-FAIL TO DISPLAY PERMIT,30,00:52,W/S,WILTSHIRE AVE,S/O,DAVENPORT RD,ON,November,0
***74529,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:52,NR,67 MAHONEY AVE,,,ON,November,0
***75257,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:52,NR,87 D'ARCY ST,,,ON,November,0
***87888,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:52,NR,789 CRAVEN RD,,,ON,November,0
***35509,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:52,OPP,38 JOE SHUSTER WAY,,,ON,November,0
***32917,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:53,W/S,WILTSHIRE AVE,S/O,DAVENPORT RD,ON,November,0
***75581,2022-11-24,355,PARK IN ACCESSIBLE NO PERMIT,450,00:54,NR,85 BORDEN ST,,,ON,November,0
***48845,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:54,E/S,WALMER RD,S/O,DUPONT ST,BC,November,0
***82230,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:54,AT,5500 YONGE ST,,,ON,November,0
***82231,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:54,AT,5500 YONGE ST,,,ON,November,0
***87889,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:54,NR,777 CRAVEN RD,,,ON,November,0
***90050,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:54,NR,5 KINSDALE BLVD,,,ON,November,0
***37899,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:55,W/S,WILTSHIRE AVE,N/O,DAVENPORT RD,ON,November,0
***48846,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:55,E/S,WALMER RD,S/O,DUPONT ST,ON,November,0
***74530,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:55,NR,67 MAHONEY AVE,,,AZ,November,0
***82232,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:55,AT,5500 YONGE ST,,,ON,November,0
***32556,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:55,AT,180 CHALKFARM DR,,,ON,November,0
***09934,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:56,,501 ADELAIDE ST E,,,ON,November,0
***87890,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:56,NR,699 CRAVEN RD,,,ON,November,0
***90051,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:56,NR,5 KINSDALE BLVD,,,ON,November,0
***32557,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:56,AT,180 CHALKFARM DR,,,ON,November,0
***82513,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:57,,15 BEAD FERNWAY,,,ON,November,0
***37900,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:57,W/S,WILTSHIRE AVE,N/O,CONNOLLY ST,ON,November,0
***48847,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:57,E/S,WALMER RD,S/O,BERNARD AVE,ON,November,0
***90052,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:57,NR,5 KINSDALE BLVD,,,ON,November,0
***95230,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:58,,2 PENGARTH CRT,,,ON,November,0
***82233,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:58,N/S,TOLMAN ST,W/O,YONGE ST,ON,November,0
***82234,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:58,N/S,TOLMAN ST,W/O,YONGE ST,ON,November,0
***82514,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:59,,18 BRACKEN FERNWAY,,,ON,November,0
***37901,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:59,W/S,WILTSHIRE AVE,N/O,CONNOLLY ST,ON,November,0
***74531,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:59,NR,10 SOMERVILLE AVE,,,ON,November,0
***75258,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:59,NR,106 BALDWIN ST,,,ON,November,0
***90053,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:59,NR,5 KINSDALE BLVD,,,ON,November,0
***31005,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:59,NR,46 EAST LIBERTY ST,,,ON,November,0
***35510,2022-11-24,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:59,NR,11 ORDNANCE ST,,,ON,November,0
***86134,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:00,,2 PENGARTH CRT,,,ON,November,1
***34066,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:00,AT,242 JOHN GARLAND BLVD,,,ON,November,1
***90054,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,01:00,NR,9 KINSDALE BLVD,,,ON,November,1
***31006,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,01:00,NR,46 EAST LIBERTY ST,,,ON,November,1
***32558,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:00,AT,190 CHALKFARM DR,,,ON,November,1
***82515,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:01,,19 SLENDER FERNWAY,,,ON,November,1
***74532,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,01:01,NR,10 SOMERVILLE AVE,,,ON,November,1
***75259,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,01:01,NR,114 BALDWIN ST,,,ON,November,1
***90055,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,01:01,NR,9 KINSDALE BLVD,,,ON,November,1
***32559,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:01,AT,190 CHALKFARM DR,,,ON,November,1
***44484,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:02,AT,170 BAYVIEW AVE,,,ON,November,1
***48848,2022-11-24,336,PARK-FAIL TO DISPLAY PERMIT,30,01:02,W/S,BRUNSWICK AVE,S/O,DUPONT ST,ON,November,1
***90056,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,01:02,NR,9 KINSDALE BLVD,,,ON,November,1
***32560,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:02,AT,200 CHALKFARM DR,,,ON,November,1
***86135,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,01:03,,2 PENGARTH CRT,,,ON,November,1
